cdo_nm,no_cm1,Em_solar_Wm2nm1,Em_surfaceW2m2nm1
865,11560.6936416185,0.97354,0.89487
866,11547.3441108545,0.858,0.78882
867,11534.0253748558,0.925,0.85066
868,11520.7373271889,0.969,0.8914
869,11507.4798619102,0.959,0.88252
870,11494.2528735632,0.977,0.89933
871,11481.0562571757,0.96317,0.88671
872,11467.8899082569,0.976,0.89887
873,11454.753722795,0.96614,0.88999
874,11441.647597254,0.94913,0.87451
875,11428.5714285714,0.93562,0.86204
876,11415.5251141553,0.962,0.88625
877,11402.5085518814,0.965,0.88948
878,11389.5216400911,0.962,0.88607
879,11376.5642775882,0.94571,0.87144
880,11363.6363636364,0.94856,0.87434
881,11350.7377979569,0.91963,0.84563
882,11337.8684807256,0.94408,0.86787
883,11325.0283125708,0.9393,0.86494
884,11312.2171945701,0.94352,0.86859
885,11299.4350282486,0.95469,0.87913
886,11286.6817155756,0.92558,0.84515
887,11273.9571589628,0.923,0.84799
888,11261.2612612613,0.94066,0.85899
889,11248.5939257593,0.94367,0.87041
890,11235.9550561798,0.94236,0.86078
891,11223.3445566779,0.93928,0.86255
892,11210.7623318386,0.93259,0.84688
893,11198.2082866741,0.918,0.81412
894,11185.6823266219,0.924,0.79413
895,11173.1843575419,0.926,0.75956
896,11160.7142857143,0.93425,0.71265
897,11148.2720178372,0.92686,0.6231
898,11135.8574610245,0.92378,0.67137
899,11123.4705228031,0.91396,0.51461
900,11111.1111111111,0.91378,0.69429
901,11098.7791342952,0.89834,0.56162
902,11086.4745011086,0.8772,0.625
903,11074.1971207087,0.92233,0.64483
904,11061.9469026549,0.921,0.78862
905,11049.7237569061,0.918,0.76337
906,11037.527593819,0.9078,0.72502
907,11025.3583241455,0.9145,0.59833
908,11013.2158590308,0.90143,0.61091
909,11001.100110011,0.88552,0.65912
910,10989.010989011,0.89496,0.58553
911,10976.9484083425,0.8973,0.6258
912,10964.9122807018,0.89016,0.64508
913,10952.9025191676,0.9002,0.58906
914,10940.9190371991,0.8982,0.5874
915,10928.9617486339,0.8883,0.6355
916,10917.0305676856,0.8947,0.54099
917,10905.1254089422,0.8886,0.6835
918,10893.2461873638,0.8881,0.55612
919,10881.3928182807,0.8921,0.69161
920,10869.5652173913,0.8854,0.69657
921,10857.76330076,0.8703,0.73004
922,10845.9869848156,0.8628,0.65584
923,10834.2361863489,0.83335,0.69698
924,10822.5108225108,0.86957,0.67571
925,10810.8108108108,0.87642,0.66621
926,10799.1360691145,0.84561,0.65875
927,10787.4865156419,0.87809,0.73684
928,10775.8620689655,0.8711,0.55363
929,10764.2626480086,0.86954,0.51792
930,10752.688172043,0.86866,0.40679
931,10741.1385606874,0.87078,0.3854
932,10729.6137339056,0.86514,0.28386
933,10718.1136120043,0.86958,0.23459
934,10706.6381156317,0.86709,0.13604
935,10695.1871657754,0.85601,0.2369
936,10683.7606837607,0.85222,0.15267
937,10672.3585912487,0.85368,0.15453
938,10660.9808102345,0.85936,0.18962
939,10649.6272630458,0.85676,0.37591
940,10638.2978723404,0.84,0.44411
941,10626.9925611052,0.83153,0.35071
942,10615.7112526539,0.80616,0.38192
943,10604.4538706257,0.83814,0.26289
944,10593.2203389831,0.81854,0.26987
945,10582.0105820106,0.82441,0.34729
946,10570.8245243129,0.83138,0.18409
947,10559.6620908131,0.82809,0.3501
948,10548.5232067511,0.83137,0.25911
949,10537.4077976818,0.83303,0.46514
950,10526.3157894737,0.82867,0.13944
951,10515.247108307,0.82019,0.45563
952,10504.2016806723,0.82402,0.25418
953,10493.1794333683,0.8205,0.32442
954,10482.180293501,0.812,0.39988
955,10471.2041884817,0.769,0.32204
956,10460.2510460251,0.802,0.30996
957,10449.3207941484,0.80583,0.25591
958,10438.4133611691,0.81147,0.43453
959,10427.5286757039,0.81483,0.35294
960,10416.6666666667,0.80627,0.39685
961,10405.8272632674,0.79982,0.43481
962,10395.0103950104,0.80173,0.41664
963,10384.2159916926,0.79761,0.47585
964,10373.4439834025,0.78808,0.43242
965,10362.6943005181,0.79579,0.47469
966,10351.966873706,0.78598,0.47377
967,10341.2616339193,0.79503,0.47353
968,10330.5785123967,0.78526,0.61301
969,10319.9174406605,0.78789,0.6448
970,10309.2783505155,0.7914,0.59689
971,10298.6611740474,0.78186,0.67059
972,10288.0658436214,0.78785,0.64629
973,10277.4922918808,0.78149,0.57081
974,10266.9404517454,0.76882,0.5417
975,10256.4102564103,0.77348,0.55536
976,10245.9016393443,0.78054,0.53872
977,10235.4145342886,0.77208,0.60084
978,10224.9488752556,0.778,0.57903
979,10214.5045965271,0.7665,0.60046
980,10204.0816326531,0.77512,0.56941
981,10193.6799184506,0.773,0.67058
982,10183.299389002,0.77879,0.65102
983,10172.9399796541,0.77541,0.62915
984,10162.6016260163,0.76881,0.6929
985,10152.2842639594,0.77081,0.64734
986,10141.9878296146,0.7662,0.70553
987,10131.7122593718,0.76606,0.69489
988,10121.4574898785,0.76368,0.69059
989,10111.2234580384,0.755,0.70391
990,10101.0101010101,0.75694,0.68843
991,10090.8173562059,0.76161,0.70833
992,10080.6451612903,0.75714,0.70597
993,10070.4934541793,0.75639,0.69325
994,10060.3621730382,0.75851,0.70891
995,10050.2512562814,0.75392,0.70673
996,10040.1606425703,0.75347,0.70409
997,10030.0902708124,0.743,0.69555
998,10020.0400801603,0.743,0.69481
999,10010.01001001,0.742,0.69455
1000,10000,0.74255,0.69159
1001,9990.00999000999,0.74741,0.70013
1002,9980.03992015968,0.74677,0.68498
1003,9970.08973080758,0.73836,0.69086
1004,9960.1593625498,0.73133,0.68056
1005,9950.24875621891,0.68365,0.6414
1006,9940.3578528827,0.7177,0.67047
1007,9930.4865938431,0.73093,0.68463
1008,9920.63492063492,0.73339,0.68407
1009,9910.80277502478,0.72934,0.67742
1010,9900.9900990099,0.73055,0.67695
1011,9891.19683481701,0.72562,0.68034
1012,9881.42292490119,0.72496,0.67667
1013,9871.66831194472,0.7196,0.67556
1014,9861.93293885602,0.72265,0.67848
1015,9852.21674876847,0.71062,0.66676
1016,9842.51968503937,0.71419,0.66976
1017,9832.84169124877,0.70659,0.66237
1018,9823.18271119843,0.71566,0.67263
1019,9813.5426889107,0.69606,0.6488
1020,9803.92156862745,0.70127,0.65839
1021,9794.31929480901,0.703,0.66107
1022,9784.73581213307,0.693,0.6498
1023,9775.17106549365,0.699,0.6549
1024,9765.625,0.70057,0.65077
1025,9756.09756097561,0.69918,0.65727
1026,9746.58869395712,0.69943,0.65625
1027,9737.09834469328,0.69594,0.65318
1028,9727.62645914397,0.69722,0.65398
1029,9718.17298347911,0.69,0.64687
1030,9708.73786407767,0.69208,0.65092
1031,9699.32104752667,0.68985,0.64799
1032,9689.92248062015,0.6896,0.64852
1033,9680.54211035818,0.678,0.63751
1034,9671.17988394584,0.68181,0.64136
1035,9661.83574879227,0.684,0.64348
1036,9652.50965250965,0.68431,0.64323
1037,9643.20154291225,0.67731,0.63664
1038,9633.91136801542,0.674,0.63361
1039,9624.63907603465,0.679,0.63802
1040,9615.38461538462,0.6744,0.63366
1041,9606.14793467819,0.6749,0.63379
1042,9596.92898272553,0.67516,0.63406
1043,9587.72770853308,0.6686,0.62773
1044,9578.54406130268,0.67199,0.63067
1045,9569.37799043062,0.66846,0.62712
1046,9560.22944550669,0.65131,0.61078
1047,9551.09837631328,0.66155,0.62008
1048,9541.98473282443,0.66781,0.62559
1049,9532.88846520496,0.66491,0.62206
1050,9523.80952380953,0.66117,0.61802
1051,9514.74785918173,0.66182,0.61862
1052,9505.70342205323,0.65848,0.61487
1053,9496.67616334283,0.65698,0.61302
1054,9487.6660341556,0.65474,0.61048
1055,9478.67298578199,0.65753,0.61242
1056,9469.69696969697,0.65629,0.61055
1057,9460.73793755913,0.6554,0.6091
1058,9451.79584120983,0.64937,0.60286
1059,9442.87063267233,0.63046,0.58453
1060,9433.96226415094,0.64831,0.60073
1061,9425.07068803016,0.63387,0.58694
1062,9416.19585687382,0.64651,0.59782
1063,9407.33772342427,0.63669,0.58815
1064,9398.49624060151,0.64621,0.59722
1065,9389.67136150235,0.64533,0.59461
1066,9380.86303939963,0.63139,0.5833
1067,9372.07122774133,0.63517,0.58637
1068,9363.29588014981,0.63591,0.58561
1069,9354.53695042095,0.60084,0.55428
1070,9345.79439252336,0.62165,0.57178
1071,9337.06816059757,0.62821,0.58304
1072,9328.35820895523,0.63131,0.58194
1073,9319.66449207829,0.61796,0.57086
1074,9310.98696461825,0.63063,0.5878
1075,9302.32558139535,0.61768,0.56054
1076,9293.68029739777,0.62468,0.58141
1077,9285.05106778087,0.62426,0.57175
1078,9276.43784786642,0.62531,0.57076
1079,9267.8405931418,0.61203,0.5721
1080,9259.25925925926,0.6225,0.56519
1081,9250.69380203515,0.60726,0.54973
1082,9242.14417744917,0.60249,0.55773
1083,9233.61034164358,0.609,0.56603
1084,9225.09225092251,0.61392,0.54775
1085,9216.58986175115,0.61181,0.56163
1086,9208.10313075506,0.6157,0.52496
1087,9199.63201471941,0.59145,0.53685
1088,9191.17647058824,0.60728,0.56159
1089,9182.73645546373,0.60908,0.54856
1090,9174.3119266055,0.60442,0.52656
1091,9165.90284142988,0.60799,0.55722
1092,9157.50915750916,0.59692,0.55048
1093,9149.13083257091,0.59221,0.48417
1094,9140.76782449726,0.56065,0.5112
1095,9132.4200913242,0.58252,0.49363
1096,9124.08759124088,0.586,0.47731
1097,9115.77028258888,0.591,0.54805
1098,9107.46812386157,0.587,0.47709
1099,9099.18107370337,0.58216,0.48161
1100,9090.90909090909,0.6,0.46113
1101,9082.65213442325,0.599,0.47169
1102,9074.41016333938,0.58202,0.44513
1103,9066.18313689937,0.595,0.44291
1104,9057.97101449275,0.593,0.44412
1105,9049.77375565611,0.591,0.48065
1106,9041.59132007233,0.59,0.3784
1107,9033.42366757001,0.586,0.45866
1108,9025.27075812274,0.5865,0.39517
1109,9017.13255184851,0.5855,0.39249
1110,9009.00900900901,0.587,0.45496
1111,9000.900090009,0.5825,0.31572
1112,8992.80575539568,0.58342,0.3933
1113,8984.72596585804,0.578,0.25599
1114,8976.66068222621,0.584,0.28576
1115,8968.60986547085,0.582,0.23833
1116,8960.57347670251,0.575,0.19223
1117,8952.551477171,0.583,0.076164
1118,8944.54382826476,0.57222,0.20763
1119,8936.55049151028,0.57151,0.10821
1120,8928.57142857143,0.5685,0.13562
1121,8920.60660124889,0.572,0.17753
1122,8912.6559714795,0.575,0.078159
1123,8904.71950133571,0.574,0.12255
1124,8896.79715302491,0.5725,0.10397
1125,8888.88888888889,0.57012,0.13794
1126,8880.9946714032,0.553,0.049394
1127,8873.11446317658,0.56179,0.15032
1128,8865.24822695036,0.56829,0.094946
1129,8857.39592559788,0.56837,0.10133
1130,8849.55752212389,0.56401,0.067568
1131,8841.73297966401,0.568,0.28201
1132,8833.9222614841,0.57,0.22359
1133,8826.1253309797,0.56186,0.14661
1134,8818.34215167549,0.56346,0.039988
1135,8810.57268722467,0.5625,0.014819
1136,8802.81690140845,0.56481,0.1232
1137,8795.07475813544,0.55197,0.27472
1138,8787.34622144112,0.544,0.19428
1139,8779.63125548727,0.553,0.28484
1140,8771.9298245614,0.55573,0.24447
1141,8764.24189307625,0.54303,0.18486
1142,8756.56742556918,0.55531,0.21481
1143,8748.90638670166,0.5496,0.29758
1144,8741.25874125874,0.54501,0.10843
1145,8733.62445414847,0.55001,0.13976
1146,8726.0034904014,0.55407,0.15085
1147,8718.39581517001,0.55408,0.056715
1148,8710.80139372822,0.55032,0.25898
1149,8703.22019147084,0.54788,0.20894
1150,8695.65217391305,0.54623,0.11648
1151,8688.09730668984,0.54531,0.19453
1152,8680.55555555556,0.5417,0.23666
1153,8673.02688638335,0.54308,0.22762
1154,8665.51126516464,0.54651,0.13643
1155,8658.00865800866,0.54731,0.29903
1156,8650.51903114187,0.54022,0.26837
1157,8643.04235090752,0.5437,0.3004
1158,8635.57858376511,0.54334,0.2977
1159,8628.12769628991,0.53548,0.32163
1160,8620.68965517241,0.52928,0.27371
1161,8613.26442721792,0.51899,0.33167
1162,8605.85197934596,0.53336,0.33412
1163,8598.45227858985,0.53708,0.44644
1164,8591.06529209622,0.52684,0.38332
1165,8583.69098712446,0.53482,0.3708
1166,8576.32933104631,0.52227,0.35781
1167,8568.98029134533,0.52984,0.39105
1168,8561.64383561644,0.53415,0.40018
1169,8554.31993156544,0.5164,0.40348
1170,8547.00854700855,0.52875,0.43731
1171,8539.7096498719,0.53074,0.4275
1172,8532.42320819113,0.53063,0.4337
1173,8525.14919011083,0.52686,0.43522
1174,8517.88756388416,0.5276,0.32193
1175,8510.63829787234,0.51852,0.43142
1176,8503.40136054422,0.51036,0.45447
1177,8496.17672047579,0.52296,0.4504
1178,8488.96434634975,0.51703,0.34391
1179,8481.76420695505,0.51504,0.46114
1180,8474.57627118644,0.52199,0.42052
1181,8467.40050804403,0.51843,0.43423
1182,8460.23688663283,0.51743,0.30903
1183,8453.0853761623,0.48821,0.41853
1184,8445.94594594595,0.51098,0.40083
1185,8438.81856540085,0.51605,0.38908
1186,8431.70320404722,0.51519,0.45518
1187,8424.599831508,0.51455,0.43494
1188,8417.50841750842,0.51012,0.32039
1189,8410.42893187553,0.48402,0.39685
1190,8403.36134453782,0.50583,0.44124
1191,8396.30562552477,0.51354,0.42638
1192,8389.26174496644,0.51175,0.45171
1193,8382.22967309304,0.51064,0.4337
1194,8375.20938023451,0.51127,0.44751
1195,8368.20083682008,0.50592,0.42671
1196,8361.20401337793,0.50561,0.41188
1197,8354.21888053467,0.50286,0.45527
1198,8347.24540901503,0.49217,0.41426
1199,8340.28356964137,0.47434,0.34869
1200,8333.33333333333,0.50005,0.42789
1201,8326.39467110741,0.50579,0.41735
1202,8319.46755407654,0.50705,0.41743
1203,8312.55195344971,0.48836,0.41441
1204,8305.64784053156,0.48696,0.34645
1205,8298.75518672199,0.50195,0.41714
1206,8291.87396351576,0.49869,0.45872
1207,8285.00414250207,0.50143,0.41044
1208,8278.14569536424,0.48962,0.41379
1209,8271.29859387924,0.46636,0.39548
1210,8264.46280991735,0.49225,0.43267
1211,8257.63831544178,0.47909,0.40319
1212,8250.82508250825,0.49064,0.40572
1213,8244.02308326463,0.4919,0.44804
1214,8237.23228995058,0.48932,0.41443
1215,8230.45267489712,0.49044,0.40851
1216,8223.68421052632,0.48878,0.44509
1217,8216.92686935086,0.48764,0.43457
1218,8210.18062397373,0.48599,0.43842
1219,8203.44544708778,0.48234,0.42639
1220,8196.72131147541,0.48433,0.43724
1221,8190.00819000819,0.48343,0.44413
1222,8183.30605564648,0.48133,0.43096
1223,8176.61488143908,0.476,0.424
1224,8169.93464052288,0.48224,0.42788
1225,8163.26530612245,0.47925,0.44141
1226,8156.60685154976,0.48026,0.44696
1227,8149.95925020375,0.46841,0.4136
1228,8143.32247557003,0.47443,0.44544
1229,8136.6965012205,0.47725,0.44608
1230,8130.08130081301,0.47502,0.43928
1231,8123.47684809098,0.47425,0.45067
1232,8116.88311688312,0.46896,0.44525
1233,8110.300081103,0.47118,0.43359
1234,8103.72771474879,0.46946,0.44893
1235,8097.16599190283,0.46644,0.44409
1236,8090.61488673139,0.46863,0.44795
1237,8084.07437348424,0.4679,0.44259
1238,8077.54442649435,0.46748,0.44694
1239,8071.02502017756,0.46235,0.44194
1240,8064.51612903226,0.45968,0.44011
1241,8058.017727639,0.46439,0.4413
1242,8051.52979066023,0.46169,0.44179
1243,8045.0522928399,0.45655,0.43712
1244,8038.58520900322,0.45535,0.43499
1245,8032.12851405623,0.456,0.43622
1246,8025.68218298555,0.45875,0.43902
1247,8019.24619085806,0.45775,0.43715
1248,8012.82051282051,0.46076,0.43828
1249,8006.40512409928,0.46013,0.4393
1250,8000,0.4586,0.43684
1251,7993.60511590727,0.45638,0.4326
1252,7987.22044728434,0.45195,0.43106
1253,7980.84596967279,0.45371,0.42803
1254,7974.48165869219,0.45358,0.42416
1255,7968.12749003984,0.45304,0.43088
1256,7961.78343949045,0.45192,0.42096
1257,7955.44948289578,0.4488,0.4163
1258,7949.12559618442,0.45116,0.42549
1259,7942.8117553614,0.44797,0.40868
1260,7936.50793650794,0.45018,0.41235
1261,7930.21411578113,0.44925,0.39371
1262,7923.93026941363,0.44252,0.37867
1263,7917.65637371338,0.44825,0.383
1264,7911.39240506329,0.44198,0.35568
1265,7905.13833992095,0.44267,0.37871
1266,7898.89415481833,0.44615,0.36881
1267,7892.65982636148,0.43912,0.37159
1268,7886.43533123028,0.43594,0.35475
1269,7880.22064617809,0.44042,0.23656
1270,7874.0157480315,0.44212,0.37087
1271,7867.82061369001,0.4429,0.39062
1272,7861.63522012579,0.4413,0.39114
1273,7855.45954438335,0.44084,0.38874
1274,7849.29356357928,0.43807,0.38864
1275,7843.13725490196,0.44072,0.39455
1276,7836.99059561129,0.44192,0.39895
1277,7830.85356303837,0.44188,0.40191
1278,7824.72613458529,0.44074,0.40916
1279,7818.60828772479,0.43795,0.40626
1280,7812.5,0.43543,0.40387
1281,7806.4012490242,0.42267,0.39554
1282,7800.3120124805,0.37589,0.35695
1283,7794.23226812159,0.41159,0.38978
1284,7788.16199376947,0.42667,0.40268
1285,7782.10116731517,0.42909,0.40577
1286,7776.04976671851,0.42878,0.40878
1287,7770.00777000777,0.43036,0.40405
1288,7763.9751552795,0.42684,0.40192
1289,7757.95190069822,0.42755,0.39194
1290,7751.93798449613,0.41851,0.39522
1291,7745.93338497289,0.42159,0.40004
1292,7739.93808049536,0.42278,0.37946
1293,7733.95204949729,0.42261,0.39506
1294,7727.97527047913,0.41615,0.38709
1295,7722.00772200772,0.41944,0.38801
1296,7716.04938271605,0.41979,0.37322
1297,7710.10023130301,0.41718,0.35583
1298,7704.16024653313,0.41263,0.37536
1299,7698.22940723634,0.41701,0.39127
1300,7692.30769230769,0.41537,0.33855
1301,7686.39508070715,0.41404,0.34728
1302,7680.49155145929,0.40955,0.37539
1303,7674.59708365311,0.40768,0.33197
1304,7668.71165644172,0.40632,0.28849
1305,7662.83524904215,0.41028,0.36783
1306,7656.96784073507,0.41039,0.36853
1307,7651.10941086458,0.40958,0.29362
1308,7645.25993883792,0.40873,0.33277
1309,7639.41940412529,0.40907,0.36822
1310,7633.58778625954,0.40714,0.28908
1311,7627.765064836,0.40611,0.32012
1312,7621.9512195122,0.40315,0.31986
1313,7616.14623000762,0.39084,0.30089
1314,7610.3500761035,0.40271,0.2769
1315,7604.56273764259,0.39162,0.27447
1316,7598.78419452888,0.39421,0.31113
1317,7593.01442672741,0.40116,0.29969
1318,7587.25341426404,0.39547,0.31984
1319,7581.50113722517,0.40093,0.25803
1320,7575.75757575758,0.39875,0.24864
1321,7570.02271006813,0.39545,0.28684
1322,7564.2965204236,0.39538,0.29023
1323,7558.57898715042,0.39502,0.22386
1324,7552.87009063444,0.39516,0.25231
1325,7547.16981132076,0.39369,0.30943
1326,7541.47812971342,0.39229,0.26956
1327,7535.79502637528,0.38877,0.25593
1328,7530.12048192771,0.39062,0.22555
1329,7524.45447705041,0.3795,0.17097
1330,7518.7969924812,0.38548,0.22052
1331,7513.14800901578,0.38765,0.13951
1332,7507.50750750751,0.3785,0.14046
1333,7501.87546886722,0.38699,0.19545
1334,7496.25187406297,0.38684,0.16302
1335,7490.63670411985,0.38563,0.22244
1336,7485.02994011976,0.38231,0.1767
1337,7479.4315632012,0.38285,0.15852
1338,7473.84155455904,0.38094,0.17151
1339,7468.25989544436,0.3757,0.17033
1340,7462.68656716418,0.37439,0.16216
1341,7457.12155108128,0.38168,0.16419
1342,7451.56482861401,0.3802,0.17149
1343,7446.01638123604,0.37977,0.12259
1344,7440.47619047619,0.37986,0.073018
1345,7434.94423791822,0.37953,0.10521
1346,7429.42050520059,0.37554,0.056189
1347,7423.90497401633,0.3776,0.058058
1348,7418.39762611276,0.37664,0.0045862
1349,7412.89844329133,0.3755,0.015617
1350,7407.40740740741,0.37081,0.015488
1351,7401.9245003701,0.37167,0.0044759
1352,7396.44970414201,0.37533,0.0014661
1353,7390.9830007391,0.37401,0.000092918
1354,7385.52437223043,0.37294,0.00028051
1355,7380.07380073801,0.36827,0.0000034847
1356,7374.63126843658,0.36876,0.000046489
1357,7369.19675755343,0.36439,0.000069429
1358,7363.77025036819,0.36997,0.0000040575
1359,7358.35172921266,0.36903,0.0000007104
1360,7352.94117647059,0.36464,0.0000020706
1361,7347.53857457752,0.37027,0.0000000046566
1362,7342.14390602056,0.36936,0.000000000017489
1363,7336.75715333822,0.36185,0.000003054
1364,7331.37829912024,0.36683,0.000001315
1365,7326.00732600733,0.36629,0.0000000000087833
1366,7320.64421669107,0.36592,0.000012379
1367,7315.28895391368,0.36242,0.0000048161
1368,7309.94152046784,0.36557,0.00000000000014311
1369,7304.60189919649,0.35886,0.00000050008
1370,7299.2700729927,0.35912,0.00000028266
1371,7293.94602479942,0.35949,0.000000019101
1372,7288.62973760933,0.36313,0.0000026623
1373,7283.32119446468,0.36294,0.000042991
1374,7278.02037845706,0.36291,0.0001735
1375,7272.72727272727,0.35749,0.00031309
1376,7267.44186046512,0.3535,0.00024935
1377,7262.16412490922,0.3579,0.00011883
1378,7256.89404934688,0.35652,0.0010741
1379,7251.63161711385,0.36035,0.000050533
1380,7246.3768115942,0.35682,0.000079042
1381,7241.12961622013,0.35784,0.0000022978
1382,7235.89001447178,0.35274,0.0000024874
1383,7230.65798987708,0.35376,0.000000042653
1384,7225.43352601156,0.35594,0.00000059782
1385,7220.21660649819,0.35242,0.0000020255
1386,7215.00721500722,0.35493,0.0000024441
1387,7209.80533525595,0.35136,0.00019288
1388,7204.61095100865,0.35277,0.0000039037
1389,7199.42404607632,0.35406,0.00056338
1390,7194.24460431655,0.34736,0.00047836
1391,7189.07260963336,0.35242,0.00033345
1392,7183.90804597701,0.35179,0.000023065
1393,7178.75089734386,0.35008,0.00011238
1394,7173.60114777618,0.3476,0.000073268
1395,7168.45878136201,0.34754,0.00000065137
1396,7163.32378223496,0.34943,0.0000000061338
1397,7158.19613457409,0.34932,0.000047605
1398,7153.07582260372,0.34952,0.0012329
1399,7147.96283059328,0.34886,0.00078835
1400,7142.85714285714,0.33896,0.0000000031513
1401,7137.75874375446,0.33929,0.000000010219
1402,7132.66761768902,0.34411,0.0017817
1403,7127.58374910905,0.34014,0.0023108
1404,7122.50712250712,0.34106,0.00071755
1405,7117.43772241993,0.34012,0.00000035395
1406,7112.37553342817,0.34164,0.0019861
1407,7107.32054015636,0.34085,0.00016957
1408,7102.27272727273,0.34007,0.0016023
1409,7097.232079489,0.34118,0.00060159
1410,7092.19858156029,0.34046,0.00045332
1411,7087.17221828491,0.33767,0.0020544
1412,7082.15297450425,0.3292,0.002565
1413,7077.14083510262,0.3329,0.02269
1414,7072.13578500707,0.33704,0.00035359
1415,7067.13780918728,0.33707,0.00017854
1416,7062.14689265537,0.33503,0.034561
1417,7057.16302046577,0.33748,0.011431
1418,7052.18617771509,0.33773,0.013182
1419,7047.21634954193,0.33391,0.0020851
1420,7042.25352112676,0.3327,0.0080437
1421,7037.29767769177,0.33594,0.0089117
1422,7032.3488045007,0.32875,0.045023
1423,7027.40688685875,0.32884,0.0089676
1424,7022.47191011236,0.32772,0.016511
1425,7017.54385964912,0.33256,0.025142
1426,7012.62272089762,0.32306,0.027032
1427,7007.70847932726,0.32745,0.04818
1428,7002.80112044818,0.33036,0.004436
1429,6997.90062981106,0.32347,0.036985
1430,6993.00699300699,0.32277,0.059912
1431,6988.12019566737,0.32421,0.048792
1432,6983.24022346369,0.33114,0.0024524
1433,6978.36706210747,0.33067,0.03487
1434,6973.50069735007,0.32509,0.020403
1435,6968.64111498258,0.32731,0.020847
1436,6963.78830083566,0.32662,0.037326
1437,6958.9422407794,0.32786,0.029085
1438,6954.10292072323,0.32601,0.012913
1439,6949.27032661571,0.32856,0.049672
1440,6944.44444444444,0.31269,0.038547
1441,6939.62526023595,0.31695,0.030959
1442,6934.81276005548,0.31584,0.035356
1443,6930.00693000693,0.3178,0.043868
1444,6925.20775623269,0.31911,0.060143
1445,6920.4152249135,0.31929,0.048434
1446,6915.62932226833,0.32135,0.022492
1447,6910.85003455425,0.3176,0.035265
1448,6906.0773480663,0.32096,0.11254
1449,6901.31124913734,0.32026,0.099374
1450,6896.55172413793,0.31774,0.026699
1451,6891.79875947622,0.31367,0.01098
1452,6887.0523415978,0.31355,0.060718
1453,6882.31245698555,0.31539,0.079803
1454,6877.57909215956,0.31282,0.13384
1455,6872.85223367698,0.3121,0.064409
1456,6868.13186813187,0.30956,0.086158
1457,6863.41798215511,0.31241,0.11386
1458,6858.71056241427,0.31612,0.13273
1459,6854.00959561343,0.31746,0.1586
1460,6849.31506849315,0.31367,0.083161
1461,6844.62696783025,0.31308,0.087886
1462,6839.94528043776,0.31018,0.12708
1463,6835.26999316473,0.30823,0.042106
1464,6830.60109289618,0.3082,0.1477
1465,6825.9385665529,0.31158,0.090911
1466,6821.28240109141,0.30696,0.063498
1467,6816.63258350375,0.31322,0.035128
1468,6811.98910081744,0.3075,0.074928
1469,6807.3519400953,0.31201,0.092344
1470,6802.72108843537,0.3101,0.048397
1471,6798.09653297077,0.30414,0.017394
1472,6793.47826086957,0.30581,0.045566
1473,6788.86625933469,0.30552,0.068368
1474,6784.2605156038,0.29705,0.094765
1475,6779.66101694915,0.30349,0.17954
1476,6775.06775067751,0.30369,0.066987
1477,6770.48070412999,0.3025,0.067916
1478,6765.899864682,0.30228,0.061825
1479,6761.32521974307,0.30461,0.1168
1480,6756.75675675676,0.30626,0.059063
1481,6752.19446320054,0.30179,0.11221
1482,6747.6383265857,0.30462,0.056967
1483,6743.08833445718,0.29813,0.14454
1484,6738.54447439353,0.30172,0.13375
1485,6734.00673400673,0.30607,0.12168
1486,6729.47510094213,0.30168,0.12008
1487,6724.94956287828,0.29989,0.059042
1488,6720.43010752688,0.26525,0.091654
1489,6715.91672263264,0.2991,0.18443
1490,6711.40939597315,0.30093,0.16993
1491,6706.90811535882,0.30175,0.19222
1492,6702.41286863271,0.29773,0.15986
1493,6697.92364367046,0.302,0.17651
1494,6693.44042838019,0.3019,0.19794
1495,6688.96321070234,0.30074,0.17745
1496,6684.49197860963,0.2914,0.16385
1497,6680.02672010688,0.29684,0.22198
1498,6675.56742323098,0.29946,0.18437
1499,6671.1140760507,0.29528,0.21141
1500,6666.66666666667,0.30077,0.24339
1501,6662.22518321119,0.2999,0.25782
1502,6657.7896138482,0.29743,0.22688
1503,6653.35994677312,0.2692,0.17972
1504,6648.93617021277,0.28319,0.15586
1505,6644.51827242525,0.27149,0.17885
1506,6640.10624169987,0.28367,0.25026
1507,6635.700066357,0.29376,0.24779
1508,6631.29973474801,0.29028,0.23606
1509,6626.90523525514,0.28805,0.18169
1510,6622.51655629139,0.29394,0.26269
1511,6618.13368630046,0.29446,0.2571
1512,6613.75661375662,0.28845,0.25315
1513,6609.38532716457,0.28729,0.23544
1514,6605.01981505945,0.285,0.2193
1515,6600.6600660066,0.28807,0.25804
1516,6596.30606860158,0.2872,0.24943
1517,6591.95781147001,0.28526,0.24214
1518,6587.61528326746,0.2897,0.24489
1519,6583.27847267939,0.28495,0.23739
1520,6578.94736842105,0.28786,0.25688
1521,6574.62195923734,0.28083,0.26707
1522,6570.30223390276,0.28031,0.25617
1523,6565.98818122127,0.28448,0.27192
1524,6561.67979002625,0.2846,0.26743
1525,6557.37704918033,0.27846,0.2514
1526,6553.07994757536,0.28596,0.25977
1527,6548.78847413229,0.28297,0.25468
1528,6544.50261780105,0.2849,0.27122
1529,6540.2223675605,0.2829,0.2646
1530,6535.9477124183,0.26731,0.24789
1531,6531.67864141084,0.28272,0.262
1532,6527.41514360313,0.28263,0.27039
1533,6523.15720808872,0.28041,0.26918
1534,6518.90482398957,0.27543,0.26122
1535,6514.65798045603,0.27754,0.25924
