cdo_nm,no_cm1,Em_solar_Wm2nm1,Em_surfaceW2m2nm1
355,28169.014084507,1.1406,0.3914
355.5,28129.3952180028,1.0964,0.37878
356,28089.8876404494,1.025,0.35627
356.5,28050.4908835905,0.95914,0.33495
357,28011.2044817927,0.842,0.29527
357.5,27972.027972028,0.85015,0.2995
358,27932.9608938547,0.78916,0.27936
358.5,27894.0027894003,0.731,0.25998
359,27855.1532033426,0.85805,0.3065
359.5,27816.4116828929,1.0321,0.37013
360,27777.7777777778,1.089,0.3924
360.5,27739.2510402219,1.0265,0.37167
361,27700.8310249307,0.9415,0.34278
361.5,27662.5172890733,0.918,0.33647
362,27624.3093922652,0.958,0.3535
362.5,27586.2068965517,1.045,0.38804
363,27548.2093663912,1.071,0.40005
363.5,27510.3163686382,1.038,0.38994
364,27472.5274725275,1.0716,0.40472
364.5,27434.8422496571,1.059,0.40179
365,27397.2602739726,1.097,0.4181
365.5,27359.781121751,1.2041,0.4611
366,27322.4043715847,1.286,0.49508
366.5,27285.1296043656,1.2843,0.49694
367,27247.9564032698,1.2577,0.48869
367.5,27210.8843537415,1.2317,0.48041
368,27173.9130434783,1.157,0.45319
368.5,27137.0420624152,1.1459,0.45106
369,27100.27100271,1.1944,0.47244
369.5,27063.599458728,1.2795,0.50856
370,27027.027027027,1.2934,0.51666
370.5,26990.5533063428,1.166,0.46798
371,26954.1778975741,1.1811,0.47628
371.5,26917.9004037685,1.2249,0.49587
372,26881.7204301075,1.1444,0.46506
372.5,26845.6375838926,1.0876,0.44389
373,26809.6514745308,1.0445,0.42833
373.5,26773.7617135207,0.939,0.38682
374,26737.9679144385,0.93442,0.38651
374.5,26702.2696929239,0.925,0.38435
375,26666.6666666667,0.985,0.41087
375.5,26631.1584553928,1.0874,0.45514
376,26595.7446808511,1.124,0.47218
376.5,26560.4249667995,1.104,0.46538
377,26525.198938992,1.1813,0.50014
377.5,26490.0662251656,1.3149,0.5589
378,26455.0264550265,1.4144,0.60314
378.5,26420.0792602378,1.3765,0.58892
379,26385.2242744063,1.226,0.52616
379.5,26350.4611330698,1.098,0.47255
380,26315.7894736842,1.152,0.49751
380.5,26281.208935611,1.231,0.53396
381,26246.719160105,1.249,0.54424
381.5,26212.3197903014,1.1224,0.49135
382,26178.0104712042,0.95426,0.41958
382.5,26143.7908496732,0.82313,0.36361
383,26109.6605744125,0.73603,0.32648
383.5,26075.6192959583,0.71095,0.31658
384,26041.6666666667,0.821,0.36689
384.5,26007.8023407022,0.9862,0.44239
385,25974.025974026,1.0802,0.48638
385.5,25940.3372243839,1.0296,0.46549
386,25906.7357512953,0.99113,0.44984
386.5,25873.2212160414,1.0279,0.46848
387,25839.7932816537,1.0354,0.47343
387.5,25806.4516129032,1.0186,0.46731
388,25773.1958762887,1.0067,0.4635
388.5,25740.0257400257,0.99743,0.46096
389,25706.940874036,1.081,0.50121
389.5,25673.9409499358,1.1958,0.55637
390,25641.0256410256,1.2519,0.58457
390.5,25608.1946222791,1.2601,0.59038
391,25575.4475703325,1.3322,0.62634
391.5,25542.7841634738,1.349,0.63617
392,25510.2040816327,1.24,0.58656
392.5,25477.7070063694,1.0312,0.48961
393,25445.2926208651,0.745,0.35502
393.5,25412.9606099111,0.5912,0.28272
394,25380.7106598985,0.76675,0.3678
394.5,25348.5424588086,1.0557,0.50811
395,25316.4556962025,1.245,0.60096
395.5,25284.4500632111,1.3245,0.64101
396,25252.5252525252,1.1626,0.56443
396.5,25220.6809583859,0.8433,0.41101
397,25188.9168765743,0.652,0.31882
397.5,25157.2327044025,0.96142,0.47151
398,25125.6281407035,1.301,0.63944
398.5,25094.1028858218,1.5342,0.75622
399,25062.656641604,1.6245,0.80408
399.5,25031.2891113892,1.6717,0.8298
400,25000,1.6885,0.83989
401,24937.6558603491,1.752,0.87691
402,24875.6218905473,1.814,0.91387
403,24813.8957816377,1.74,0.88211
404,24752.4752475248,1.763,0.89849
405,24691.3580246914,1.715,0.87849
406,24630.5418719212,1.666,0.85878
407,24570.0245700246,1.63,0.84545
408,24509.8039215686,1.699,0.88488
409,24449.8777506112,1.809,0.94717
410,24390.243902439,1.537,0.8091
411,24330.900243309,1.715,0.9077
412,24271.8446601942,1.816,0.96686
413,24213.0750605327,1.7392,0.92951
414,24154.5893719807,1.7144,0.92134
415,24096.3855421687,1.7688,0.95569
416,24038.4615384615,1.815,0.98628
417,23980.8153477218,1.766,0.96392
418,23923.4449760766,1.685,0.92392
419,23866.3484486874,1.749,0.96354
420,23809.5238095238,1.599,0.88467
421,23752.9691211401,1.811,1.0067
422,23696.682464455,1.782,0.99499
423,23640.6619385343,1.721,0.96531
424,23584.9056603774,1.708,0.96182
425,23529.4117647059,1.755,0.99312
426,23474.1784037559,1.699,0.96667
427,23419.2037470726,1.638,0.9355
428,23364.4859813084,1.651,0.94625
429,23310.0233100233,1.523,0.87766
430,23255.8139534884,1.212,0.70134
431,23201.8561484919,1.099,0.63779
432,23148.1481481481,1.822,1.0628
433,23094.688221709,1.6913,0.9905
434,23041.4746543779,1.56,0.91653
435,22988.5057471264,1.709,1.007
436,22935.7798165138,1.868,1.1061
437,22883.295194508,1.9,1.1306
438,22831.0502283105,1.663,0.99368
439,22779.0432801822,1.601,0.95753
440,22727.2727272727,1.83,1.0993
441,22675.7369614512,1.799,1.0859
442,22624.4343891403,1.922,1.164
443,22573.3634311512,1.949,1.1823
444,22522.5225225225,1.8941,1.1537
445,22471.9101123596,1.965,1.1992
446,22421.5246636771,1.7557,1.0766
447,22371.3646532439,1.99,1.2257
448,22321.4285714286,2.014,1.2422
449,22271.714922049,2.001,1.2409
450,22222.2222222222,2.069,1.2881
451,22172.9490022173,2.142,1.3376
452,22123.8938053097,2.047,1.2822
453,22075.055187638,1.8864,1.1854
454,22026.4317180617,2.018,1.273
455,21978.021978022,2.001,1.2655
456,21929.8245614035,2.063,1.3088
457,21881.8380743982,2.077,1.3213
458,21834.0611353712,2.032,1.2946
459,21786.4923747277,2.012,1.2859
460,21739.1304347826,1.9973,1.2791
461,21691.9739696312,2.0639,1.3255
462,21645.0216450216,2.078,1.3392
463,21598.2721382289,2.084,1.3452
464,21551.724137931,2.015,1.3055
465,21505.376344086,1.984,1.2905
466,21459.2274678112,2.021,1.319
467,21413.2762312634,1.931,1.2616
468,21367.5213675214,2.012,1.3178
469,21321.9616204691,2.018,1.3247
470,21276.5957446809,1.939,1.2749
471,21231.4225053079,1.969,1.2975
472,21186.4406779661,2.07,1.3661
473,21141.6490486258,1.9882,1.3144
474,21097.0464135021,2.012,1.3304
475,21052.6315789474,2.08,1.3755
476,21008.4033613445,2.012,1.3299
477,20964.3605870021,2.025,1.3392
478,20920.5020920502,2.086,1.3839
479,20876.8267223382,2.04,1.3586
480,20833.3333333333,2.068,1.3825
481,20790.0207900208,2.061,1.3836
482,20746.887966805,2.0623,1.3899
483,20703.933747412,2.031,1.3742
484,20661.1570247934,1.989,1.3492
485,20618.5567010309,1.979,1.3457
486,20576.1316872428,1.601,1.0918
487,20533.8809034908,1.789,1.2235
488,20491.8032786885,1.935,1.3252
489,20449.8977505112,1.8224,1.2492
490,20408.1632653061,2.032,1.3968
491,20366.5987780041,1.949,1.3435
492,20325.2032520325,1.856,1.2818
493,20283.9756592292,1.983,1.3719
494,20242.9149797571,1.9339,1.3402
495,20202.0202020202,2.051,1.4238
496,20161.2903225806,1.949,1.3548
497,20120.7243460765,1.98,1.3788
498,20080.3212851406,1.924,1.3421
499,20040.0801603206,1.923,1.3429
500,20000,1.916,1.3391
501,19960.0798403194,1.858,1.299
502,19920.3187250996,1.86,1.2991
503,19880.7157057654,1.949,1.3597
504,19841.2698412698,1.833,1.2682
505,19801.9801980198,1.9472,1.3598
506,19762.8458498024,2.025,1.4153
507,19723.865877712,1.9354,1.3548
508,19685.0393700787,1.88,1.321
509,19646.3654223969,1.965,1.385
510,19607.8431372549,1.91,1.3497
511,19569.4716242661,1.941,1.3753
512,19531.25,1.989,1.4125
513,19493.1773879142,1.866,1.3277
514,19455.2529182879,1.824,1.3003
515,19417.4757281553,1.875,1.3385
516,19379.8449612403,1.891,1.3514
517,19342.3597678917,1.539,1.1017
518,19305.0193050193,1.759,1.2605
519,19267.8227360308,1.704,1.2222
520,19230.7692307692,1.86,1.3349
521,19193.8579654511,1.873,1.3452
522,19157.0881226054,1.915,1.376
523,19120.4588910134,1.804,1.2976
524,19083.9694656489,1.941,1.3962
525,19047.6190476191,1.928,1.3859
526,19011.4068441065,1.874,1.3479
527,18975.3320683112,1.641,1.1795
528,18939.3939393939,1.88,1.3508
529,18903.5916824197,1.969,1.4142
530,18867.9245283019,1.892,1.3598
531,18832.3917137476,1.995,1.4348
532,18796.992481203,1.958,1.4094
533,18761.7260787993,1.747,1.259
534,18726.5917602996,1.869,1.3491
535,18691.5887850467,1.895,1.3701
536,18656.7164179105,1.974,1.4292
537,18621.9739292365,1.824,1.3229
538,18587.3605947955,1.913,1.3896
539,18552.8756957328,1.864,1.3558
540,18518.5185185185,1.8,1.3096
541,18484.2883548983,1.734,1.2595
542,18450.184501845,1.888,1.3714
543,18416.2062615101,1.851,1.3493
544,18382.3529411765,1.919,1.3971
545,18348.623853211,1.874,1.3657
546,18315.0183150183,1.8609,1.3536
547,18281.5356489945,1.882,1.3717
548,18248.1751824818,1.826,1.3331
549,18214.9362477231,1.88,1.3752
550,18181.8181818182,1.863,1.3648
551,18148.8203266788,1.859,1.3639
552,18115.9420289855,1.896,1.3923
553,18083.1826401447,1.842,1.3533
554,18050.5415162455,1.878,1.3802
555,18018.018018018,1.889,1.3883
556,17985.6115107914,1.857,1.3651
557,17953.3213644524,1.812,1.3321
558,17921.146953405,1.853,1.3613
559,17889.0876565295,1.755,1.2885
560,17857.1428571429,1.786,1.3118
561,17825.311942959,1.89,1.3885
562,17793.5943060498,1.801,1.3225
563,17761.9893428064,1.871,1.3731
564,17730.4964539007,1.836,1.3466
565,17699.1150442478,1.849,1.3555
566,17667.8445229682,1.75,1.2823
567,17636.684303351,1.868,1.3673
568,17605.6338028169,1.859,1.3554
569,17574.6924428823,1.831,1.3228
570,17543.8596491228,1.828,1.324
571,17513.1348511384,1.762,1.281
572,17482.5174825175,1.872,1.3534
573,17452.0069808028,1.881,1.3595
574,17421.6027874564,1.873,1.3527
575,17391.3043478261,1.834,1.3225
576,17361.1111111111,1.818,1.3118
577,17331.0225303293,1.862,1.3452
578,17301.0380622837,1.799,1.304
579,17271.1571675302,1.816,1.323
580,17241.3793103448,1.834,1.3455
581,17211.7039586919,1.833,1.3518
582,17182.1305841924,1.852,1.3729
583,17152.6586620926,1.863,1.3872
584,17123.2876712329,1.854,1.3845
585,17094.0170940171,1.836,1.3737
586,17064.8464163823,1.792,1.3409
587,17035.7751277683,1.838,1.3708
588,17006.8027210884,1.821,1.3403
